date,max_temp,min_temp
2026-07-17,20.1,10.4
2026-07-18,21.1,11.8
2026-07-19,25.6,10.5
2026-07-20,23.5,10.0
2026-07-21,23.0,9.4
2026-07-22,23.0,8.2
2026-07-23,26.1,9.3
